iteration,best_reward,mean_reward,std_reward,throughput_mbps,sinr_dl_err,sinr_ul_err,delay_ms_err,bler_pct_err,best_reward_cumul,best_cumul
1,-43.55189370000001,-45.3784,0.7917,1.06829,0.00165,3.87043,0.009349,0.01016,-43.5519,-43.5519
2,-43.535766800000005,-44.9924,0.8999,1.06813,0.00164,3.81142,0.008731,0.009699,-43.5358,-43.5358
3,-43.520198500000014,-45.369,0.8301,1.06797,0.00164,3.87039,0.008861,0.010217,-43.5202,-43.5202
4,-43.535766800000005,-45.0464,0.8922,1.06803,0.00167,3.82072,0.008086,0.009822,-43.5358,-43.5202
5,-43.579985300000004,-45.2394,0.9109,1.06804,0.00167,3.85035,0.008402,0.010289,-43.58,-43.5202
6,-43.60763870000001,-45.2099,0.7714,1.0681,0.00165,3.84549,0.008687,0.009808,-43.6076,-43.5202
7,-43.523262300000006,-45.359,0.8291,1.06818,0.00169,3.86912,0.007905,0.010207,-43.5233,-43.5202
8,-43.5364323,-45.4087,0.7456,1.06802,0.00165,3.87661,0.008665,0.010282,-43.5364,-43.5202
9,-43.59007599999998,-45.4724,0.7797,1.06788,0.00162,3.88711,0.008587,0.010262,-43.5901,-43.5202
10,-43.60763870000001,-45.309,0.7631,1.06811,0.00169,3.86144,0.008046,0.010049,-43.6076,-43.5202
11,-43.535766800000005,-45.1837,0.9368,1.06812,0.0016,3.84037,0.009795,0.00957,-43.5358,-43.5202
12,-43.7923173,-45.3481,0.6465,1.06805,0.00168,3.86754,0.008261,0.010071,-43.7923,-43.5202
13,-43.535766800000005,-45.2452,0.7869,1.06806,0.00163,3.85092,0.00884,0.009955,-43.5358,-43.5202
14,-43.51520050000001,-45.2192,0.8123,1.06799,0.00163,3.84721,0.008668,0.010021,-43.5152,-43.5152
15,-43.5249562,-45.4854,0.7065,1.0679,0.00164,3.88834,0.009411,0.010021,-43.525,-43.5152
16,-43.62609759999999,-45.3239,0.8821,1.06813,0.00166,3.86351,0.008335,0.009948,-43.6261,-43.5152
17,-43.54498649999999,-45.1395,0.9206,1.06807,0.00161,3.83476,0.008616,0.009634,-43.545,-43.5152
18,-43.51388490000001,-45.3365,0.8439,1.06809,0.00166,3.86541,0.008416,0.01021,-43.5139,-43.5139
19,-43.51222440000001,-45.0873,0.9865,1.06812,0.00164,3.82652,0.008393,0.009932,-43.5122,-43.5122
20,-43.59007599999998,-45.4492,0.6884,1.0679,0.00163,3.88323,0.00887,0.010057,-43.5901,-43.5122
21,-43.730774100000005,-45.42,0.7977,1.068,0.00162,3.87803,0.009061,0.010403,-43.7308,-43.5122
22,-43.593891600000006,-45.2539,0.7963,1.06797,0.00165,3.85272,0.008502,0.010371,-43.5939,-43.5122
23,-43.535766800000005,-45.0956,0.9707,1.06808,0.00163,3.82774,0.008636,0.009895,-43.5358,-43.5122
24,-43.60763870000001,-45.2543,0.8831,1.06808,0.00163,3.85241,0.008777,0.009793,-43.6076,-43.5122
25,-43.54498649999999,-45.237,0.8882,1.06806,0.00171,3.8508,0.007476,0.010341,-43.545,-43.5122
26,-43.51520050000001,-45.1166,0.9266,1.06809,0.00169,3.8318,0.0078,0.009791,-43.5152,-43.5122
27,-43.51388490000001,-45.2562,0.8357,1.06818,0.00168,3.8524,0.008552,0.010284,-43.5139,-43.5122
28,-43.7667784,-45.4399,0.6929,1.06802,0.00167,3.88169,0.008408,0.010402,-43.7668,-43.5122
29,-43.65984109999999,-45.4347,0.6931,1.068,0.00168,3.88123,0.008144,0.01026,-43.6598,-43.5122
30,-43.54297650000001,-45.2587,0.8046,1.06789,0.00171,3.85488,0.007297,0.010318,-43.543,-43.5122
31,-43.51520050000001,-44.8436,0.8382,1.06801,0.00163,3.78895,0.008464,0.009336,-43.5152,-43.5122
32,-43.5364323,-45.5238,0.7333,1.06784,0.00168,3.89598,0.007683,0.010547,-43.5364,-43.5122
33,-43.56342550000001,-45.3407,0.7516,1.06808,0.00167,3.86613,0.00848,0.009953,-43.5634,-43.5122
34,-43.535766800000005,-44.9854,0.9247,1.06799,0.00162,3.81112,0.008408,0.009619,-43.5358,-43.5122
35,-43.664338900000004,-45.3642,0.8059,1.06818,0.00163,3.86869,0.009259,0.010123,-43.6643,-43.5122
36,-43.613892599999986,-45.465,0.8059,1.06812,0.00165,3.88484,0.008891,0.010422,-43.6139,-43.5122
37,-43.54708459999999,-45.4195,0.7224,1.06809,0.00168,3.87841,0.008334,0.01028,-43.5471,-43.5122
38,-43.57022820000001,-45.298,0.8152,1.068,0.00171,3.86044,0.007509,0.010361,-43.5702,-43.5122
39,-43.52496400000001,-44.9899,0.9718,1.06794,0.00166,3.81255,0.00772,0.009752,-43.525,-43.5122
40,-43.523262300000006,-45.2248,0.8641,1.06811,0.00169,3.84837,0.00801,0.009938,-43.5233,-43.5122
41,-43.57022820000001,-44.8992,0.8867,1.06818,0.00168,3.79743,0.007957,0.009687,-43.5702,-43.5122
42,-43.51222440000001,-45.1286,0.9863,1.06818,0.00164,3.8323,0.008937,0.00978,-43.5122,-43.5122
43,-43.51388490000001,-45.3826,0.7251,1.068,0.00162,3.87244,0.009023,0.00985,-43.5139,-43.5122
44,-43.5364323,-45.2664,0.8601,1.06806,0.00168,3.85519,0.007863,0.009945,-43.5364,-43.5122
45,-43.51196630000001,-45.1091,0.9288,1.0682,0.00163,3.82902,0.009154,0.009734,-43.512,-43.512
46,-43.593891600000006,-45.3431,0.7688,1.06813,0.00165,3.8658,0.00888,0.01034,-43.5939,-43.512
47,-43.51196630000001,-45.2123,0.9062,1.06803,0.00168,3.84708,0.007652,0.009859,-43.512,-43.512
48,-43.535766800000005,-45.4983,0.7479,1.06806,0.00168,3.89067,0.008405,0.010467,-43.5358,-43.512
49,-43.51196630000001,-44.9997,0.8939,1.06811,0.00164,3.81317,0.008261,0.009498,-43.512,-43.512
50,-43.51196630000001,-45.3475,0.7714,1.06807,0.00167,3.86737,0.008307,0.00997,-43.512,-43.512
